year_month,age,male,female,total,source_url
202102,56,668,708,1376,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202102nenrei-zentai.pdf
202102,81,322,425,747,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202102nenrei-zentai.pdf
202102,7,683,618,1301,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202102nenrei-zentai.pdf
202102,32,653,717,1370,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202102nenrei-zentai.pdf
202102,57,680,775,1455,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202102nenrei-zentai.pdf
202102,82,315,360,675,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202102nenrei-zentai.pdf
202102,8,668,679,1347,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202102nenrei-zentai.pdf
202102,33,710,662,1372,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202102nenrei-zentai.pdf
202102,58,631,746,1377,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202102nenrei-zentai.pdf
202102,83,280,386,666,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202102nenrei-zentai.pdf
202102,9,705,698,1403,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202102nenrei-zentai.pdf
202102,34,764,758,1522,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202102nenrei-zentai.pdf
202102,59,698,728,1426,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202102nenrei-zentai.pdf
202102,84,241,382,623,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202102nenrei-zentai.pdf
202102,10,668,688,1356,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202102nenrei-zentai.pdf
202102,35,739,744,1483,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202102nenrei-zentai.pdf
202102,60,686,680,1366,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202102nenrei-zentai.pdf
202102,85,228,344,572,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202102nenrei-zentai.pdf
202102,11,737,636,1373,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202102nenrei-zentai.pdf
202102,36,731,829,1560,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202102nenrei-zentai.pdf
202102,61,673,691,1364,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202102nenrei-zentai.pdf
202102,86,194,345,539,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202102nenrei-zentai.pdf
202102,12,704,692,1396,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202102nenrei-zentai.pdf
202102,37,746,759,1505,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202102nenrei-zentai.pdf
202102,62,681,674,1355,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202102nenrei-zentai.pdf
202102,87,143,274,417,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202102nenrei-zentai.pdf
202102,13,703,695,1398,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202102nenrei-zentai.pdf
202102,38,708,722,1430,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202102nenrei-zentai.pdf
